id,combined_score,argumentative_rigor,originality_force,philosophical_depth,rhetorical_mastery
4d99116e-6a09-4210-84b9-14c07bb44b9a,0.6175,0.52,0.61,0.68,0.71
d28b7d23-963c-4b2e-9130-6fafccd4fd55,0.6175,0.52,0.61,0.68,0.71
3a1fbfc8-6986-4984-a36f-678e6420b6d6,0.5369999999999999,0.48,0.56,0.52,0.71
5a09ee1f-5cf3-47c6-9a14-db06f7bcde8d,0.5269999999999999,0.48,0.56,0.52,0.61
4eea29fa-d788-4601-8354-320e72836dcb,0.48100000000000004,0.41,0.48,0.52,0.56
0cfb0faf-4a54-445b-bd44-50da10f3a2c3,0.42700000000000005,0.38,0.46,0.42,0.51
c7ea5da2-12d8-45b1-a9ae-bedde15a9d0d,0.42700000000000005,0.38,0.46,0.42,0.51
e602b70a-edb5-4713-bcf9-0f89774f5c1b,0.42700000000000005,0.38,0.46,0.42,0.51
d68c8dc0-2c4e-4c91-91e8-5fd5c7b3a82d,0.41950000000000004,0.38,0.44,0.41,0.52
90a6d98b-84a4-4e20-b12c-5c9da793a5bd,0.3895,0.28,0.44,0.41,0.52
70e7ba42-bbb7-42b6-9021-400d16e48570,0.364,0.28,0.37,0.41,0.44
04b010a0-e31f-4c51-afe5-8ad3b9850e54,0.2045,0.19,0.16,0.23,0.27
03863d05-b65d-46a2-b52a-6f51ac995ea4,0.2,0.2,0.2,0.2,0.2
0517ffc8-7b9d-4987-85de-dd900b2d802d,0.2,0.2,0.2,0.2,0.2
08c5bba3-8976-4a99-a814-6ef1f11826d9,0.2,0.2,0.2,0.2,0.2
1362f47c-a54b-488a-a815-69306ceee641,0.2,0.2,0.2,0.2,0.2
14a96bc9-7fc1-47ff-b798-4d736505b221,0.2,0.2,0.2,0.2,0.2
18608a69-ef53-4c68-98ca-43c78d167ca9,0.2,0.2,0.2,0.2,0.2
1f53af34-f09d-4061-b4d1-5e8f6d978980,0.2,0.2,0.2,0.2,0.2
22227121-96d7-4dcd-bc86-b91479515658,0.2,0.2,0.2,0.2,0.2
3a48bec2-ad57-4a53-81b2-c045d9a409ac,0.2,0.2,0.2,0.2,0.2
3f922afb-54be-4e22-90c2-504094058faf,0.2,0.2,0.2,0.2,0.2
405cd8d8-466f-4b4b-9954-26d7670dadf0,0.2,0.2,0.2,0.2,0.2
4254199c-0254-4d8a-99b1-677bd657a073,0.2,0.2,0.2,0.2,0.2
4ed47b7b-2b0a-4486-bbea-b92749dd357a,0.2,0.2,0.2,0.2,0.2
4f16a568-7007-4412-90ba-fff256391629,0.2,0.2,0.2,0.2,0.2
504f6194-a658-4cb0-bc51-c2af7ffc64ce,0.2,0.2,0.2,0.2,0.2
566554ae-bbc8-4f4f-bfee-59c72ff1fb57,0.2,0.2,0.2,0.2,0.2
5789d2cd-bb26-4fbf-9060-3622f8e3b6c1,0.2,0.2,0.2,0.2,0.2
6481f5aa-3fd3-482a-a5b1-2c1ce13e5a15,0.2,0.2,0.2,0.2,0.2
6fed862b-0f13-48ee-bffb-662d0e2a1327,0.2,0.2,0.2,0.2,0.2
73469acb-1218-44e2-bfd3-79600a2a1da0,0.2,0.2,0.2,0.2,0.2
73ba00cf-b69c-4d28-af45-1d6eee433155,0.2,0.2,0.2,0.2,0.2
8233be1a-b9fc-40b2-bda7-f2e5a6776e0c,0.2,0.2,0.2,0.2,0.2
846ec49a-ce94-4757-9b1f-44a27471e497,0.2,0.2,0.2,0.2,0.2
94f1466c-a204-451e-a420-cf0bcd7f3070,0.2,0.2,0.2,0.2,0.2
9885a58e-a14d-4a77-92b3-f2af9e851b9a,0.2,0.2,0.2,0.2,0.2
98867887-ef9a-470e-90ed-e7a3da2c3274,0.2,0.2,0.2,0.2,0.2
9e8cda1a-ce80-455c-b484-f11c4affe44e,0.2,0.2,0.2,0.2,0.2
b499f412-548b-4b97-991d-43f4fc4c4898,0.2,0.2,0.2,0.2,0.2
bf70e911-5876-49a2-a17e-84ff81014f81,0.2,0.2,0.2,0.2,0.2
c257b2b0-bc45-41e5-8f2c-e7450ae5ad73,0.2,0.2,0.2,0.2,0.2
c32ad710-c4db-42ff-90c5-aad7b49c0e80,0.2,0.2,0.2,0.2,0.2
c5513780-f51f-4bd4-a1c9-ab81bbaaf8b5,0.2,0.2,0.2,0.2,0.2
d3f876f7-c0ab-4e07-8807-8c3ee0c1b779,0.2,0.2,0.2,0.2,0.2
dccb38ff-8298-4f0d-bcee-7453dbd3a536,0.2,0.2,0.2,0.2,0.2
e20e5f85-b7db-4e07-b8a0-03444696eef1,0.2,0.2,0.2,0.2,0.2
e813464c-d7a8-4bf2-ae5e-65feb99b336d,0.2,0.2,0.2,0.2,0.2
f304bde4-1aec-4990-94e4-f7a1bb3539df,0.2,0.2,0.2,0.2,0.2
f45d3638-ca63-4d9f-afd3-f2c0f94f5e97,0.2,0.2,0.2,0.2,0.2
fe3e04c8-362a-4d7e-acf1-d712f8509d34,0.2,0.2,0.2,0.2,0.2
fc478fcd-f998-43a2-ac42-d44066ecb70b,0.0,0.0,0.0,0.0,0.0
