id,combined_score,phenomenological_authenticity,aesthetic_virtuosity,affective_force,literary_innovation,first_line
c97eaedb-b015-4c91-b4bd-e9cdc8a15acf,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
cb1f298e-172d-4766-9d8b-8a845162f68c,0.6995,0.71,0.68,0.74,0.62,"Dear Leyi,"
cbfa6574-1747-4c25-b63f-5e7eb6f50d2c,0.691,0.71,0.68,0.69,0.66,Leyi—
cce12af5-9489-49fa-8661-ae31a98cb13a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
ce02f720-a2ec-40b5-a2fb-dbb546474192,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
d00ecab2-b0c2-42b5-8c8c-e999ce68832b,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
d1946736-3bb7-40c1-bd35-fe3d097a4903,0.6184999999999999,0.71,0.52,0.68,0.44,"Dear Leyi,"
d2ef6634-604e-457e-8fbc-629d27d3bfb3,0.6594999999999999,0.68,0.62,0.71,0.58,"Dear Leyi,"
d41e47d5-ad3d-42ae-a668-66e78af01383,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
d5996db3-2363-4dea-91c2-1095be7043e1,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
d62c0d5d-9584-4663-8ab5-d581f8857c8a,0.2,0.2,0.2,0.2,0.2,5-hour limit reached ∙ resets 4pm
d87238bb-eeeb-461f-a473-856e2e11d0d5,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
d92267c7-9a87-456d-bb4c-f6ace04739f2,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
e1d8ce84-c4d2-4aaa-948f-23e7bc9e67a7,0.6975,0.72,0.68,0.71,0.64,"Dear Leyi,"
e26cce8e-986c-4348-abe9-3c0c8e40df92,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
e518505f-77ae-41c0-922b-25a78f733eca,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
e6702ae4-8f50-4953-8230-213fdb6c499e,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
e685a6c9-b5b4-4e0c-81de-4e7bb307fa56,0.677,0.71,0.68,0.69,0.52,"Dear Leyi,"
eb7f82e9-3582-4a2b-82b7-f1f3fc6b734d,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
ebcc743a-442b-40b9-94fc-6dd67e1ac238,0.6154999999999999,0.71,0.52,0.68,0.41,"Dear Leyi,"
ec19e200-d53f-46e8-ba91-98fb8385038a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
f067622f-6c88-4462-9d61-f2a6a2902304,0.7295,0.76,0.71,0.73,0.68,"Dear Leyi,"
f09a6da4-95d6-4722-aebf-e739d4cb117e,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
f23e4987-f407-48eb-af56-df6ae932d982,0.701,0.71,0.68,0.73,0.66,"Dear Leyi,"
f2c2f17e-713a-4454-9e19-b604571fb68a,0.6965,0.71,0.68,0.72,0.64,"Dear Leyi,"
f7ae5ad8-1a0c-4de0-969c-8ad72d7d83b6,0.2,0.2,0.2,0.2,0.2,5-hour limit reached ∙ resets 4pm
fac22fff-ea08-4b80-8dd5-5e1f19799e4a,0.6970000000000001,0.71,0.68,0.73,0.62,"Dear Leyi,"
fc8f9e7c-fd5b-43c1-99aa-b91ee3570b8e,0.6990000000000001,0.71,0.68,0.73,0.64,"Dear Leyi,"
fca878ab-90ee-4a04-855e-76c6482b7a82,0.687,0.71,0.68,0.73,0.52,"Dear Leyi,"
fe08eba9-4a53-46a4-a949-348ca8293907,0.679,0.71,0.68,0.73,0.44,"Dear Leyi,"
fed33216-78f2-42d4-8fda-4d8d41a0788c,0.73,0.74,0.71,0.76,0.68,"Dear Leyi,"
ff59db21-5f85-48cb-b94f-061181c398a0,0.7354999999999999,0.77,0.71,0.74,0.68,"Dear Leyi,"
ffe17e2b-f9d8-4864-bc80-bad482cde090,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
fff66587-b08f-4594-9dcc-4e5de84e1954,0.732,0.76,0.71,0.74,0.68,"Dear Leyi,"
